"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5649","Search Test","webkit","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","6085","Logo Presence Test","chromium","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","15313","TEST2","chromium","2025-08-13","passed","2025-08-13","","Reporters.spec.js","",""
"","4768","Search Test","chromium","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","8272","Search Test","firefox","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","4228","Logo Presence Test","firefox","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","5600","Logo Presence Test","webkit","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","56485","test","chromium","2025-08-13","broken","2025-08-13","","Retry.spec.js","",""
"","5636","Page Title Test","webkit","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","7230","Page Title Test","firefox","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","3966","Page Title Test","chromium","2026-09-03","passed","2026-09-03","","Reporters.spec.ts","",""
"","11674","TEST3","chromium","2025-08-13","failed","2025-08-13","","Reporters.spec.js","",""
"","10583","TEST1","chromium","2025-08-13","passed","2025-08-13","","Reporters.spec.js","",""
